,Horizon,Proven-1,Presumed-1,Surf Interpre-1,throw_>_50m_1,throw_<_50m_1,Proven-2,Presumed-2,Surf Interpre-2,throw_>_50m_2,throw_<_50m_2,Proven-3,Presumed-3,Surf Interpre-3,throw_>_50m_3,throw_<_50m_3,Proven-4,Presumed-4,Surf Interpre-4,throw_>_50m_4,throw_<_50m_4,Proven-5,Presumed-5,Surf Interpre-5,throw_>_50m_5,throw_<_50m_5,Proven-6,Presumed-6,Surf Interpre-6,throw_>_50m_6,throw_<_50m_6,Proven-7,Presumed-7,Surf Interpre-7,throw_>_50m_7,throw_<_50m_7,Proven-8,Presumed-8,Surf Interpre-8,throw_>_50m_8,throw_<_50m_8,Proven-9,Presumed-9,Surf Interpre-9,throw_>_50m_9,throw_<_50m_9,Proven-10,Presumed-10,Surf Interpre-10,throw_>_50m_10,throw_<_50m_10,Proven-11,Presumed-11,Surf Interpre-11,throw_>_50m_11,throw_<_50m_11,Proven-12,Presumed-12,Surf Interpre-12,throw_>_50m_12,throw_<_50m_12
0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
1,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
2,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,F,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,10.0,4.0,3.0,0.0,2.0,7.0,8.0,5.0,0.0,1.0,12.0,5.0,0.0,0.0,4.0,1.0
4,F-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Zo2,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,11.0,11.0,2.0,0.0,1.0,12.0,13.0,1.0,0.0,1.0,13.0,5.0,1.0,0.0,2.0,4.0,8.0,1.0,0.0,3.0,6.0,12.0,3.0,0.0,5.0,10.0,29.0,1.0,0.0,4.0,26.0
6,Zo8,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,13.0,0.0,0.0,3.0,10.0,15.0,0.0,0.0,3.0,12.0,6.0,2.0,0.0,3.0,5.0,10.0,2.0,0.0,1.0,11.0,3.0,3.0,0.0,2.0,4.0,12.0,2.0,0.0,3.0,11.0,12.0,2.0,0.0,3.0,14.0,12.0,1.0,0.0,5.0,8.0
7,La,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,4.0,7.0,14.0,0.0,0.0,1.0,13.0,5.0,3.0,0.0,1.0,8.0,9.0,2.0,0.0,0.0,11.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Gu,6.0,2.0,0.0,0.0,8.0,5.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,4.0,19.0,1.0,0.0,3.0,17.0,14.0,0.0,0.0,3.0,11.0,24.0,3.0,0.0,2.0,25.0,1.0,5.0,0.0,1.0,5.0,4.0,5.0,0.0,4.0,5.0,14.0,2.0,0.0,3.0,13.0,6.0,4.0,0.0,4.0,6.0,14.0,3.0,0.0,4.0,13.0
9,Ma,10.0,2.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,4.0,9.0,4.0,0.0,3.0,10.0,13.0,1.0,0.0,3.0,11.0,12.0,6.0,0.0,3.0,15.0,7.0,1.0,0.0,1.0,7.0,5.0,6.0,0.0,4.0,7.0,3.0,5.0,0.0,4.0,4.0,4.0,6.0,0.0,3.0,7.0,9.0,6.0,0.0,5.0,10.0
