,No.faults_Sc,Section,Horizons,Lithology_x,Uncertainty,Displacements,Throw,Heave,Length (m),Fault Av Plunge deg,Fault Av Plunge Azimuth,Angle (deg),Bedding plane dip HW,Bedding plane Azimuth HW,Bedding plane dip FW,Bedding plane Azimuth FW,Fault size,HorizonName,Lithology_y,Colour,FormationName,Cum_Length_Proven,Cum_Length_Secure,Cum_Length_Assume,Cum_Length
0,Fault10_12,12,Ka,Fine sst with siltyclay ,Proven,30.2,28.6,9.7,324.1,77.93,325.62,71.27,35.08,145.62,51.01,325.62,Small,Ka,sandstone with siltstones ,LightCoral,Bochum,33668.4,25721.3,73638.9,133028.6
1,Fault10_12,12,Er,Fine sst with siltyclay ,Proven,28.0,18.2,7.6,324.1,77.93,325.62,19.7,28.31,145.62,3.73,326.96,Small,Er,Rhyolite tuff,r,Bochum,22957.1,16837.3,92123.3,131917.7
2,Fault10_12,12,Hu,Fine sst with siltyclay ,Assumed,11.1,9.5,0.5,324.1,77.93,325.62,86.99,47.96,145.62,47.32,325.62,Small,Hu,sandstone with siltstones ,MediumVioletRed,Essen,20013.7,37750.9,56619.0,114383.6
3,FaultS22_4,4,Ma,Fine sst with siltyclay ,Secured,24.5,13.7,20.3,337.0,19.87,143.57,34.0,11.05,323.57,5.95,143.26,Small,Ma,sandstone with siltstones ,DeepPink,Essen,27523.9,25710.5,54843.6,108078.0
4,FaultS22_4,4,Hu,Fine sst with siltyclay ,Secured,52.4,17.3,49.2,337.0,19.87,143.57,15.38,33.46,323.57,4.89,143.57,Small,Hu,sandstone with siltstones ,MediumVioletRed,Essen,20013.7,37750.9,56619.0,114383.6
5,FaultS22_4,4,Ka1,Fine sst with siltyclay ,Proven,57.0,8.8,56.7,337.0,19.87,143.57,8.84,6.88,32.57,6.25,143.57,Small,,,,,,,,
6,Fault8_4,4,Gu,Fine sst with siltyclay ,Secured,43.5,18.0,39.6,381.5,26.7,156.2,24.48,1.77,336.2,15.47,336.2,Small,Gu,coarse sandstone,y,Essen,28153.0,29543.7,48152.0,105848.7
7,Fault8_4,4,Ma,Fine sst with siltyclay ,Proven,20.1,8.4,18.3,381.5,26.7,156.2,24.8,0.7,156.2,21.63,336.2,Small,Ma,sandstone with siltstones ,DeepPink,Essen,27523.9,25710.5,54843.6,108078.0
8,Fault8_4,4,Hu,Fine sst with siltyclay ,Proven,24.8,12.0,21.8,381.5,26.7,156.2,28.79,1.47,336.2,22.14,336.2,Small,Hu,sandstone with siltstones ,MediumVioletRed,Essen,20013.7,37750.9,56619.0,114383.6
9,Faultn14_7,7,Gu,Fine sst with siltyclay ,Secured,30.2,16.9,25.0,435.8,28.77,65.04,34.02,8.4,245.04,0.0,254.92,Small,Gu,coarse sandstone,y,Essen,28153.0,29543.7,48152.0,105848.7
